show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,description_es
s4971,Movie,"Game Over, Man!",Kyle Newacheck,"Adam DeVine, Anders Holm, Blake Anderson, Utkarsh Ambudkar, Aya Cash, Neal McDonough, Daniel Stern, Jamie Demetriou, Rhona Mitra, Sam Richardson, Steve Howey, Mac Brandt, Geno Segers, Roe Hartrampf",United States,"March 23, 2018",2018,TV-MA,102 min,"Action & Adventure, Comedies",Three buddies with big dreams go from underachieving slackers to badass warriors when their posh hotel is taken over by terrorists.,Tres amigos con grandes sueños pasan de un bajo rendimiento a los guerreros rudos cuando su elegante hotel es asumido por terroristas.
s3363,Movie,Arsenio Hall: Smart & Classy,Brian Volk-Weiss,Arsenio Hall,United States,"October 29, 2019",2019,TV-MA,63 min,Stand-Up Comedy,"In his first stand-up special, Arsenio Hall discusses getting older, the changing times and culture, social issues and even bothersome baby toes.","En su primer especial de stand-up, Arsenio Hall discute envejecer, los tiempos y la cultura cambiantes, los problemas sociales e incluso los dedos de los dedos de los bebés molestos."
s5495,TV Show,Kazoops!,,"Reece Pockney, Scott Langley, Alex Babic, Gemma Harvey, Jessica Hann, Emma Tate",Australia,"May 5, 2017",2017,TV-Y,3 Seasons,Kids' TV,Music meets imagination in this inventive animated series about thinking outside the box and having fun.,La música se encuentra con la imaginación en esta inventiva serie animada sobre pensar fuera de la caja y divertirse.
s1689,TV Show,We Are the Champions,,,United States,"November 17, 2020",2020,TV-MA,1 Season,"Docuseries, Reality TV","Explore an array of unique competitions, from the quirky to the bizarre, and meet their passionate communities in this docuseries.","Explore una variedad de competiciones únicas, desde lo extravagante hasta lo extraño, y conozca a sus apasionadas comunidades en esta docuserías."
s1350,TV Show,"Pablo Escobar, el patrón del mal",,"Andrés Parra, Angie Cepeda, Cecilia Navia, Vicky Hernández, Christian Tappan, Rodolfo Silva, Tommy Vásquez, Toto Vega, Nicolás Montero, Marcela Gallego",Colombia,"February 3, 2021",2012,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","From his days as a petty thief to becoming head of a drug-trafficking empire, this riveting series charts the life of the infamous Pablo Escobar.","Desde sus días como un pequeño ladrón hasta convertirse en jefe de un imperio que traiga drogas, esta fascinante serie traza la vida del infame Pablo Escobar."
s4863,TV Show,Saint Seiya: The Lost Canvas,,"Tetsuya Kakihara, Hiro Shimono, Aya Hirano, Atsushi Abe, Sanae Kobayashi, Kenta Miyake, Tomohiro Tsuboi, Nana Mizuki, Shigeru Chiba",Japan,"May 15, 2018",2009,TV-MA,1 Season,"Anime Series, International TV Shows",This anime adventure follows the battle between a saint of Athena and an avatar of Hades who's working on a painting that could destroy the world.,Esta aventura de anime sigue la batalla entre un santo de Atenea y un avatar de Hades que está trabajando en una pintura que podría destruir el mundo.
s2677,TV Show,Fauda,,"Lior Raz, Hisham Suliman, Shadi Mar'i, Laëtitia Eïdo, Tsahi Halevi, Yuval Segal, Neta Garty, Tomer Kapon, Itzik Cohen, Rona-Lee Shim'on, Boaz Konforty, Doron Ben-David",Israel,"April 16, 2020",2020,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure","A top Israeli agent comes out of retirement to hunt for a Palestinian militant he thought he'd killed, setting a chaotic chain of events into motion.","Un agente israelí superior sale de la jubilación para buscar un militante palestino que pensó que había matado, poniendo en marcha una cadena caótica de eventos."
s488,TV Show,The Cook of Castamar,,"Michelle Jenner, Roberto Enríquez, Hugo Silva, Maxi Iglesias, María Hervás, Agnès Llobet, Paula Usero, Jean Cruz, Óscar Rabadán, Fiorella Faltoyano, Nancho Novo, Silvia Abascal, Mónica López",,"July 9, 2021",2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1720 Madrid, a talented cook catches the eye of a widowed duke just as he returns to aristocratic society. Based on the novel by Fernando J. Múñez.","En 1720 Madrid, un cocinero talentoso llama la atención de un duque viudo justo cuando regresa a la sociedad aristocrática.Basado en la novela de Fernando J. Múñez."
s1672,Movie,The App That Stole Christmas,Monica Floyd,"Jackie Long, Diane Marie Howard, Jaylin Hall, Miguel A. Núñez Jr., Ray J, JayQ The Legend, J. Anthony Brown, Kenny Rhodes, Amber Cosich",United States,"November 20, 2020",2020,TV-PG,64 min,"Children & Family Movies, Comedies","A tech entrepreneur's Christmas shopping app is a smashing success, but he starts to realize his invention might be ruining the holiday spirit.","La aplicación de compras navideñas de un empresario tecnológico es un éxito aplicado, pero comienza a darse cuenta de que su invención podría estar arruinando el espíritu navideño."
s5029,Movie,Mute,Duncan Jones,"Alexander Skarsgård, Paul Rudd, Justin Theroux","United Kingdom, Germany","February 23, 2018",2018,TV-MA,127 min,"Sci-Fi & Fantasy, Thrillers","When his girlfriend vanishes, a mute man ventures into a near-future Berlin's seamy underworld, where his actions speak louder than words.","Cuando su novia desaparece, un hombre mudo se aventura en un inframundo costoso de Berlín, donde sus acciones hablan más que las palabras."
s6652,TV Show,"Drugs, Inc.",,Mike Secher,United States,"March 23, 2019",2015,TV-MA,1 Season,"Crime TV Shows, Docuseries","This absorbing documentary series follows the entire supply chain of the illicit drug trade, tracing its production, export, sale and consumption.","Esta serie documental absorbente sigue toda la cadena de suministro del tráfico ilícito de medicamentos, rastreando su producción, exportación, venta y consumo."
s6593,Movie,Den of Thieves,Christian Gudegast,"Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent, Meadow Williams, Maurice Compte, Brian Van Holt, Evan Jones, Mo McRae, Kaiwi Lyman",United States,"May 1, 2020",2018,R,140 min,Action & Adventure,A highly skilled crew of bank robbers plotting a heist at the supposedly impenetrable Federal Reserve faces off against an elite unit of L.A. cops.,Una tripulación altamente calificada de ladrones de bancos conspira un atraco en la Reserva Federal supuestamente impenetrable se enfrenta a una unidad de élite de los policías de Los Ángeles.
s8464,Movie,The President's Barber,Chan-sang Lim,"Kang-ho Song, So-ri Moon, Jae-eung Lee, Yeong-jin Jo, Byung-ho Son, Yong-soo park, Seung-soo Ryu, Ju-sang Yun, Gyu-su Jeong, Dal-su Oh",South Korea,"October 1, 2017",2004,TV-MA,116 min,"Comedies, Dramas, International Movies","The personal barber to the president, as well as his wife and only son, get tangled in the political chaos that gripped South Korea in the late 1900s.","El barbero personal del presidente, así como su esposa y su único hijo, se enredan en el caos político que se apoderó de Corea del Sur a fines del siglo XX."
s3986,Movie,The Dirt,Jeff Tremaine,"Douglas Booth, Iwan Rheon, Colson Baker, Daniel Webber, David Costabile, Pete Davidson",United States,"March 22, 2019",2019,TV-MA,108 min,"Comedies, Dramas, Music & Musicals","In this unflinching biopic based on Mötley Crüe's best-selling book, four LA misfits navigate the monster highs and savage lows of music superstardom.","En esta inquebrantable película biográfica basada en el libro más vendido de Mötley Crüe, cuatro Misfits de Los Ángeles navegan por los monstruos y los salvajes mínimos de la música."
s2692,TV Show,Brews Brothers,,"Alan Aisenberg, Mike Castle, Carmen Flood, Marques Ray",United States,"April 10, 2020",2020,TV-MA,1 Season,TV Comedies,"Two rival brothers must work together to keep their brewery in business, but shenanigans keep foaming up their company with chaos.","Dos hermanos rivales deben trabajar juntos para mantener su cervecería en el negocio, pero las travesuras siguen espuma de espuma con su compañía con el caos."
s5235,Movie,Rodney Carrington: Here Comes the Truth,Brandon Jones,Rodney Carrington,United States,"October 3, 2017",2017,TV-MA,66 min,Stand-Up Comedy,"Raunchy country comic and musician Rodney Carrington jokes and sings about life in his 40s, poking fun at sex, relationships and gaining weight.","El cómic y músico de campo ralentista Rodney Carrington bromea y canta sobre la vida en sus 40, burlándose de las relaciones, las relaciones y el aumento de peso."
s7750,Movie,Planet Hulk,Sam Liu,"Rick D. Wasserman, Lisa Ann Beley, Mark Hildreth, Liam O'Brien, Kevin Michael Richardson, Sam Vincent, Advah Soudack, Michael Kopsa, Paul Dobson, Marc Worden",United States,"June 1, 2020",2010,TV-14,81 min,"Action & Adventure, Sci-Fi & Fantasy","When Earth's superheroes exile the volatile Incredible Hulk to a distant planet called Sakaar, the muscle-bound green monster is sold into slavery.","Cuando los superhéroes de la Tierra exilian al increíble casco de la volátil a un planeta lejano llamado Sakaar, el monstruo verde muscular se vende a la esclavitud."
s8621,Movie,Tree Man,"Jon Reiner, Brad Rothschild",,Canada,"November 1, 2016",2015,TV-PG,82 min,Documentaries,"Entrepreneurs from Vermont and Quebec sell Christmas trees on the streets of New York, becoming a cherished part of neighborhood holiday traditions.","Los empresarios de Vermont y Quebec venden árboles de Navidad en las calles de Nueva York, convirtiéndose en una parte apreciada de las tradiciones navideñas del vecindario."
s4996,Movie,Ladies First,Uraaz Bahl,,India,"March 8, 2018",2018,TV-G,40 min,"Documentaries, International Movies, Sports Movies","Born amid poverty and limited women's rights in the village of Ratu, India, Deepika Kumari rose to become the No.1 female archer in the world at 18.","Nacida en medio de la pobreza y los derechos limitados de las mujeres en el pueblo de Ratu, India, Deepika Kumari se convirtió en la arquera número 1 en el mundo a los 18 años."
s7208,Movie,King Jack,Felix Thompson,"Charlie Plummer, Cory Nichols, Christian Madsen, Danny Flaherty, Erin Davie, Chloe Levine",United States,"July 1, 2016",2015,NR,81 min,"Dramas, Independent Movies","Already coping with a bully, a mercurial older brother and summer school, 15-year-old Jack is saddled with his young cousin for an eventful weekend.","Ya lidiando con un matón, un hermano mayor Mercurial y una escuela de verano, Jack, de 15 años, está cargado con su joven primo durante un fin de semana lleno de acontecimientos."
s2522,Movie,"I love you, stupid",Laura Mañá,"Quim Gutiérrez, Natalia Tena, Alfonso Bassave, Alba Ribas, Patricia Vico, Ernesto Alterio",Spain,"May 15, 2020",2019,TV-MA,88 min,"Comedies, International Movies, Romantic Movies","After Marcos is dumped by his girlfriend, he attempts to reinvent himself as a modern man with the help of a childhood friend and an online guru.","Después de que Marcos es abandonado por su novia, intenta reinventarse como un hombre moderno con la ayuda de un amigo de la infancia y un gurú en línea."
s6035,Movie,A Family Man,Mark Williams,"Gerard Butler, Gretchen Mol, Alison Brie, Willem Dafoe, Alfred Molina, Maxwell Jenkins, Anupam Kher, Dustin Milligan","Canada, United States","December 15, 2019",2016,R,110 min,Dramas,A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.,Un despiadado cazador corporativo lucha a su rival para una promoción mientras se trata de una crisis familiar que amenaza con descarrilar su carrera.
s240,Movie,Boomika (Telugu),Rathindran R Prasad,"Aishwarya Rajesh, Vidhu, Surya Ganapathy, Madhuri, Pavel Navageethan, Avantika Vandanapu",,"August 23, 2021",2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers","Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think.","La actividad paranormal en una propiedad exuberante y abandonada alarma a un grupo ansioso por reconstruir el sitio, pero los eventos inquietos pueden no ser tan sobrenaturales como piensan."
s5665,Movie,3 Türken & ein Baby,Sinan Akkuş,"Kostja Ullmann, Eko Fresh, Kida Khodr Ramadan, Sabrina Klüber, Sami Nasser, Kayla Rybicka, Jytte-Merle Böhrnsen, Emrah Erdogru, Tim Grothe, Hülya Duyar",Germany,"December 15, 2016",2015,TV-MA,93 min,"Comedies, International Movies",The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.,La vida de tres hermanos insatisfechos que dirige una tienda de novia familiar se convierte en topsy-turby cuando uno de ellos tiene que cuidar al bebé de su ex novia.
